bls_sector_code,industry_code,description,level,private_sector_flag
00,00000000,Total nonfarm,0,1
05,05000000,Total private,1,1
06,06000000,Goods-producing,4,1
07,07000000,Service providing,4,1
08,08000000,Private service-providing,4,1
10,10000000,Mining and logging,2,1
20,20000000,Construction,2,1
30,30000000,Manufacturing,2,1
31,31000000,Durable goods,3,1
32,32000000,Nondurable goods,3,1
40,40000000,"Trade, transportation, and utilities",2,1
50,50000000,Information,2,1
55,55000000,Financial activities,2,1
60,60000000,Professional and business services,2,1
65,65000000,Education and health services,2,1
70,70000000,Leisure and hospitality,2,1
80,80000000,Other services,2,1
90,90000000,Government,2,0
1011,10113300,Logging,5, 1
1021,10210000,Mining,5, 1
20,20000000,Construction,5,1
30,30000000,Manufacturing,5,1
41,41420000,Wholesale trade,5,1
42,42000000,Retail trade,5,1
43,43000000,Transportation and warehousing,5,1
22,44220000,Utilities,5,1
50,50000000,Information,5,1
5552,55520000,Finance and insurance,5,1
5553,55530000,Real estate and rental and leasing,5,1
6054,60540000,Professional and technical services,5,1
6055,60550000,Management of companies and enterprises,5,1
6056,60560000,Administrative and waste services,5,1
6561,65610000,Educational services,5,1
6562,65620000,Health care and social assistance,5,1
7071,70710000,"Arts, entertainment, and recreation",5,1
7072,70720000,Accommodation and food services,5,1
80,80000000,Other services,5,1
9091,90910000,Federal,5,0
9092,90920000,State government,5,0
9093,90930000,Local government,5,0



