industry_code,description,level, private_sector_flag
000000,Total nonfarm,0,1
100000,Total private,1,1
110099,Mining and logging,2,1
230000,Construction,2,1
300000,Manufacturing,2,1
320000,Durable goods manufacturing,3,1
340000,Nondurable goods manufacturing,3,1
400000,"Trade, transportation, and utilities",2,1
510000,Information,2,1
510099,Financial activities,2,1
540099,Professional and business services,2,1
600000,Education and health services,2,1
700000,Leisure and hospitality,2,1
810000,Other services,2,1
900000,Government,1,0
923000,State and local government education,3,0
929000,"State and local government, excluding education",3,0
110099,Mining and logging,5,1
230000,Construction,5,1
300000,Manufacturing,5,1
420000,Wholesale trade,5,1
440000,Retail trade,5,1
480099,"Transportation, warehousing, and utilities",5,1
510000,Information,5,1
520000,Finance and insurance,5,1
530000,Real estate and rental and leasing,5,1
540099,Professional and business services,5,1
610000,Educational services,5,1
620000,Health care and social assistance,5,1
710000,"Arts, entertainment, and recreation",5,1
720000,Accommodation and food services,5,1
810000,Other services,5,1
910000,Federal,5,0
920000,State and local,5,0
